Employee ID,First Name,Last Name,Gender,State,City,Job Title,Education Level,Birth Date,Hire Date,salary,Actual Salary,Department,promotion_last_5years,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,Termination Date
E10038,Jonathan,Mcdonald,Male,New York,Rochester,Software Engineer,Bachelor's,26-04-1997,02-05-2024,low,34243,technical,0,0.11,0.89,6,306,4,0,1,
E10039,Christopher,Norris,Male,Florida,Orlando,Software Engineer,Bachelor's,12-05-1988,21-04-2022,low,44995,technical,0,0.41,0.54,2,152,3,0,1,
E10040,Hannah,Rose,Male,Florida,Orlando,Tech Lead,Master's,29-06-1989,11-02-2022,low,46758,technical,0,0.87,0.88,5,269,5,0,1,
E10041,Peter,Gordon,Female,Texas,Houston,Data Scientist,Master's,18-12-1993,14-12-2021,low,45943,technical,0,0.45,0.48,2,158,3,0,1,
E10042,Victoria,Olsen,Female,Florida,Miami,Software Engineer,Bachelor's,03-07-1984,26-04-2021,low,34963,technical,0,0.4,0.46,2,127,3,0,1,
E10043,Henry,Edwards,Female,Texas,Houston,Software Engineer,Bachelor's,23-04-1991,11-05-2019,low,43440,technical,0,0.1,0.8,7,281,4,0,1,
E10044,Jennifer,Robinson,Male,California,San Diego,Software Engineer,Bachelor's,27-12-1969,16-09-2020,low,38326,technical,0,0.09,0.89,6,276,4,0,1,11-10-2020
E10045,James,Jordan,Male,California,San Francisco,Software Engineer,Bachelor's,16-03-1974,24-03-2018,low,44724,technical,0,0.84,0.74,3,182,4,0,1,
E10046,Katherine,Burke,Female,Illinois,Chicago,Technical Support,High School,09-12-1984,03-08-2022,low,43385,support,0,0.4,0.55,2,147,3,0,1,
E10047,Christina,Barrera,Male,Florida,Miami,Customer Support,High School,23-02-2000,17-04-2019,low,35005,support,0,0.57,0.7,3,273,6,0,1,
E10048,David,Rocha,Female,New York,New York City,Technical Support,High School,05-12-1998,26-01-2019,low,34384,support,0,0.4,0.54,2,148,3,0,1,
E10049,Barbara,Thompson,Male,Florida,Tampa,Customer Support,High School,12-05-1999,14-12-2019,low,34364,support,0,0.43,0.47,2,147,3,0,1,28-12-2021
E10050,Katherine,Montgomery,Male,California,San Diego,Technical Support,High School,08-07-1986,30-01-2024,low,36069,support,0,0.13,0.78,6,152,2,0,1,
E10051,Anthony,Roberts,Female,Florida,Tampa,Customer Support,High School,16-09-1992,13-05-2020,low,41450,support,0,0.44,0.55,2,135,3,0,1,
E10052,Sydney,Kim,Female,New York,Rochester,Customer Support,High School,10-07-1974,20-04-2023,low,38725,support,0,0.38,0.55,2,134,3,0,1,
E10053,Joseph,Bird,Female,Texas,Houston,Customer Support,High School,28-08-1999,30-12-2020,low,47332,support,0,0.39,0.54,2,132,3,0,1,
E10054,Brian,Morales,Female,California,San Francisco,Customer Support,High School,09-01-1966,02-10-2022,low,45158,support,0,0.1,0.92,7,307,4,0,1,
E10055,Anne,Dyer,Male,Florida,Miami,Customer Support,High School,09-09-1989,03-05-2020,low,32300,support,0,0.37,0.46,2,140,3,0,1,
E10056,Candice,Murphy,Male,California,Los Angeles,Customer Support,High School,19-02-1990,27-01-2018,low,40606,support,0,0.11,0.94,7,255,4,0,1,
E10057,Kimberly,Krause,Male,Texas,Austin,Software Engineer,Bachelor's,16-08-1970,23-06-2024,low,35852,technical,0,0.1,0.81,6,309,4,0,1,
E10058,Brandon,Meyer,Female,Illinois,Chicago,Data Scientist,Master's,03-10-1990,24-07-2019,low,46500,technical,0,0.38,0.54,2,128,3,0,1,
E10059,John,Green,Male,New York,Buffalo,Data Scientist,Master's,27-05-1965,22-08-2018,low,43789,technical,0,0.85,1,4,225,5,0,1,
E10060,Patrick,Bridges,Female,Illinois,Springfield,Operations Manager,Master's,17-02-1977,18-11-2017,medium,64036,management,0,0.85,0.91,5,226,5,0,1,
E10061,Melissa,Davies,Male,New York,New York City,IT Support,High School,22-09-1988,11-08-2022,medium,52720,IT,0,0.11,0.93,7,308,4,0,1,
E10062,Gregory,Boyd,Male,New York,Buffalo,IT Support,High School,20-02-1988,23-11-2024,medium,75641,IT,0,0.1,0.95,6,244,5,0,1,
E10063,Thomas,Oconnor,Female,California,San Diego,System Administrator,Bachelor's,17-10-1987,07-12-2021,medium,52240,IT,0,0.36,0.56,2,132,3,0,1,
E10064,Cody,Maldonado,Female,Texas,Houston,System Administrator,Bachelor's,09-01-1996,13-05-2016,medium,75210,IT,0,0.11,0.94,6,286,4,0,1,
E10065,Melanie,Strickland,Male,Illinois,Naperville,System Administrator,Bachelor's,08-12-1974,02-07-2019,medium,63931,IT,0,0.81,0.7,6,161,4,0,1,09-12-2019
E10066,Caitlin,Moore,Female,Florida,Miami,Business Analyst,Master's,27-10-1978,08-06-2016,medium,79626,product_mng,0,0.43,0.54,2,153,3,0,1,
E10067,James,Cole,Male,California,San Diego,Product Manager,Master's,15-12-1997,30-09-2023,medium,62052,product_mng,0,0.9,0.98,4,264,6,0,1,
E10068,Larry,Villegas,Male,California,San Diego,Product Manager,Master's,26-09-1971,01-10-2023,medium,69733,product_mng,0,0.76,0.86,5,223,5,1,1,
E10069,Misty,Diaz,Male,Texas,Houston,Product Manager,Master's,10-02-1976,04-07-2019,medium,52823,product_mng,0,0.43,0.5,2,135,3,0,1,12-06-2022
E10070,Daniel,Moore,Male,Texas,Austin,System Administrator,Bachelor's,14-04-1989,26-08-2020,medium,50847,IT,0,0.74,0.99,2,277,3,0,1,
E10071,Sandra,Solis,Female,Texas,Austin,Product Manager,Master's,19-12-1974,14-11-2016,medium,61532,product_mng,0,0.09,0.77,5,275,4,0,1,05-11-2023
E10072,Judith,Morales,Male,Florida,Orlando,Product Manager,Master's,14-12-1974,19-06-2017,high,103922,product_mng,0,0.45,0.49,2,149,3,0,1,
E10073,John,Nguyen,Male,Illinois,Springfield,Business Analyst,Master's,26-08-1994,20-07-2019,low,39632,product_mng,0,0.09,0.87,7,295,4,0,1,
E10074,Carla,Torres,Male,California,Los Angeles,Business Analyst,Master's,30-05-1978,25-09-2021,medium,67119,product_mng,0,0.11,0.97,6,277,4,0,1,
E10075,Pamela,Stevenson,Male,New York,Buffalo,Product Manager,Master's,25-07-1976,09-10-2021,medium,66952,product_mng,0,0.11,0.79,7,306,4,0,1,
E10076,Jennifer,Hicks,Female,New York,Rochester,Business Analyst,Master's,26-11-1977,18-03-2023,medium,57371,product_mng,0,0.1,0.83,6,295,4,0,1,
E10077,Eduardo,Jones,Female,California,Los Angeles,Marketing Coordinator,Bachelor's,21-02-2002,17-09-2020,medium,56346,marketing,0,0.4,0.54,2,137,3,0,1,
E10078,Judy,Wolfe,Male,Illinois,Naperville,Account Manager,Bachelor's,13-06-1981,16-02-2016,low,34667,sales,0,0.43,0.56,2,157,3,0,1,
E10079,Andrew,Hernandez,Female,New York,New York City,Accountant,Bachelor's,15-03-1986,17-11-2018,low,41742,accounting,0,0.39,0.56,2,142,3,0,1,
E10080,Eric,Walsh,Female,Texas,Austin,Customer Support,High School,13-03-2002,11-08-2018,low,34805,support,0,0.45,0.54,2,140,3,0,1,
E10081,Leslie,Roberts,Female,New York,Rochester,Software Engineer,Bachelor's,09-09-1987,18-05-2022,low,35813,technical,0,0.38,0.49,2,151,3,0,1,
E10082,Nancy,Hayes,Female,Texas,Dallas,Operations Manager,Master's,18-03-1981,29-07-2024,low,30047,management,1,0.79,0.59,4,139,3,0,1,
E10083,Taylor,Cardenas,Male,Texas,Dallas,Marketing Coordinator,Bachelor's,24-03-1983,14-05-2024,low,48841,marketing,0,0.84,0.85,4,249,6,0,1,
E10084,Teresa,Fisher,Male,Texas,Austin,Marketing Manager,Master's,26-06-1969,03-05-2021,low,44419,marketing,0,0.11,0.77,6,291,4,0,1,
E10085,Matthew,Padilla,Male,New York,New York City,Marketing Manager,Master's,23-08-1970,11-05-2020,low,33758,marketing,0,0.11,0.87,6,305,4,0,1,
E10086,Lisa,Maddox,Male,Texas,Austin,Sales Representative,Bachelor's,23-01-1969,25-07-2018,low,35103,sales,0,0.17,0.84,5,232,3,0,1,
E10087,Stephen,Rodriguez,Male,Florida,Tampa,Sales Representative,Bachelor's,01-02-1982,30-11-2021,low,39324,sales,0,0.44,0.45,2,132,3,0,1,
E10088,Aaron,Tapia,Female,Texas,Austin,Sales Representative,Bachelor's,30-08-1975,04-03-2018,low,46664,sales,0,0.37,0.57,2,130,3,0,1,
E10089,Kimberly,Mcfarland,Female,Texas,Houston,Sales Representative,Bachelor's,27-11-1999,18-03-2021,low,42101,sales,0,0.1,0.79,6,291,4,0,1,
E10090,Christopher,Clark,Male,Florida,Orlando,Account Manager,Bachelor's,18-09-1997,28-01-2020,low,39095,sales,0,0.4,0.5,2,130,3,0,1,
E10091,Scott,Andrews,Male,Florida,Tampa,Account Manager,Bachelor's,26-10-1975,23-07-2022,low,47498,sales,0,0.89,1,5,246,5,0,1,
E10092,Mark,Gray,Female,Illinois,Springfield,Account Manager,Bachelor's,03-03-1983,24-10-2018,low,48205,sales,0,0.42,0.48,2,143,3,0,1,
E10093,Daniel,Medina,Male,Texas,Austin,Sales Representative,Bachelor's,23-07-1981,01-11-2024,low,34244,sales,0,0.46,0.55,2,129,3,0,1,
E10094,Jean,Dean,Female,California,San Diego,Account Manager,Bachelor's,16-06-1982,02-01-2023,low,49191,sales,0,0.09,0.83,6,255,4,0,1,
E10095,Andrew,Wilson,Male,Illinois,Naperville,Sales Representative,Bachelor's,11-03-1966,07-11-2020,low,33792,sales,0,0.37,0.51,2,155,3,0,1,
E10096,Michael,Cook,Female,Illinois,Chicago,Account Manager,Bachelor's,22-11-1988,14-04-2020,low,30331,sales,0,0.1,0.77,6,265,4,0,1,
E10097,Caroline,Clark,Male,Illinois,Springfield,Sales Representative,Bachelor's,29-08-1994,31-10-2023,low,49681,sales,0,0.1,0.84,6,279,4,0,1,
E10098,Melvin,Green,Female,Illinois,Naperville,Sales Representative,Bachelor's,05-11-1969,07-02-2018,low,32674,sales,0,0.11,0.97,6,284,4,0,1,
E10099,Richard,Solis,Male,California,San Diego,Sales Representative,Bachelor's,15-02-1994,09-04-2017,medium,77829,sales,0,0.9,1,5,221,6,0,1,
E10100,Julie,Wilson,Male,California,Los Angeles,Sales Representative,Bachelor's,14-09-1971,26-08-2024,medium,75108,sales,0,0.38,0.52,2,154,3,0,1,29-08-2024
E10101,Andrea,Sanders,Female,California,San Francisco,Account Manager,Bachelor's,30-04-1968,03-02-2025,medium,59964,sales,0,0.36,0.52,2,147,3,0,1,
E10102,Steve,Ward,Male,California,Los Angeles,Sales Representative,Bachelor's,06-10-1986,03-07-2022,medium,75241,sales,0,0.42,0.46,2,150,3,0,1,
E10103,Shawn,Buck,Male,New York,Buffalo,Sales Representative,Bachelor's,14-10-1975,19-08-2016,medium,58285,sales,0,0.09,0.94,7,267,4,0,1,
E10104,Lisa,Frazier,Male,New York,New York City,Sales Director,Master's,10-01-1977,16-04-2021,medium,54415,sales,0,0.43,0.52,2,158,3,0,1,
E10105,Barbara,Franklin,Male,Illinois,Naperville,Accountant,Bachelor's,29-06-1965,21-05-2019,medium,76180,accounting,0,0.24,0.46,7,224,5,0,1,
E10106,Elizabeth,Johnson,Female,California,San Diego,Accountant,Bachelor's,09-11-1986,04-10-2024,medium,67166,accounting,0,0.91,1,4,257,5,0,1,
E10107,Oscar,Mcbride,Female,Florida,Miami,Accountant,Bachelor's,23-01-1975,15-06-2019,medium,71983,accounting,0,0.44,0.5,2,148,3,0,1,
E10108,Emily,Elliott,Female,California,San Diego,Recruiter,Bachelor's,19-06-1971,17-05-2020,medium,66136,hr,0,0.71,0.87,3,177,4,0,1,
E10109,Jeremiah,Walls,Female,New York,New York City,HR Manager,Master's,13-10-1976,29-08-2019,medium,64613,hr,0,0.4,0.49,2,155,3,0,1,
E10110,Caleb,Lopez,Male,New York,Rochester,HR Manager,Master's,07-08-1981,28-12-2018,medium,64559,hr,0,0.43,0.47,2,144,3,0,1,
E10111,Jose,Sullivan,Male,Florida,Orlando,Recruiter,Bachelor's,30-11-2002,03-03-2019,high,104268,hr,0,0.09,0.85,6,289,4,0,1,
E10112,Christina,Alvarez,Male,Florida,Tampa,Software Engineer,Bachelor's,15-03-1994,16-11-2017,low,46063,technical,0,0.43,0.52,2,160,3,0,1,
E10113,George,Summers,Female,Texas,Austin,Software Engineer,Bachelor's,18-06-1987,25-03-2020,medium,60871,technical,0,0.9,0.96,4,258,5,0,1,
E10114,Scott,Robertson,Male,California,Los Angeles,Tech Lead,Master's,15-09-2000,17-02-2018,medium,71424,technical,0,0.84,1,5,234,5,0,1,23-06-2024
E10115,Joseph,Smith,Female,Texas,Houston,Tech Lead,Master's,16-01-1979,28-10-2022,medium,65085,technical,0,0.37,0.48,2,137,3,0,1,
E10116,Gabriel,Delgado,Female,Texas,Houston,Software Engineer,Bachelor's,03-01-1992,06-02-2018,medium,75965,technical,0,0.86,0.68,5,263,2,0,1,
E10117,Kim,Becker,Male,California,San Diego,Tech Lead,Master's,19-06-1999,25-09-2021,low,30608,technical,0,0.11,0.84,6,251,4,0,1,
E10118,Lauren,Keller,Male,Illinois,Chicago,Software Engineer,Bachelor's,04-10-1979,26-05-2016,low,43058,technical,0,0.37,0.57,2,133,3,0,1,
E10119,Matthew,Kerr,Female,Illinois,Springfield,Data Scientist,Master's,13-02-1974,14-06-2021,low,47342,technical,0,0.4,0.46,2,132,3,0,1,
E10120,Carlos,Collier,Female,Illinois,Naperville,Data Scientist,Master's,13-09-1983,15-07-2021,low,36086,technical,0,0.14,0.62,4,158,4,1,1,
E10121,Heather,Gillespie,Male,Illinois,Naperville,Software Engineer,Bachelor's,17-12-1968,01-11-2016,low,31266,technical,0,0.4,0.46,2,135,3,0,1,
E10122,Christine,Jimenez,Female,Texas,Dallas,Software Engineer,Bachelor's,04-10-1990,21-03-2023,low,38955,technical,0,0.75,1,4,216,6,0,1,
E10123,Cody,Walton,Female,New York,New York City,Customer Support,High School,24-11-1979,17-01-2025,low,45741,support,0,0.11,0.84,6,300,5,1,1,
E10124,Samuel,Hinton,Female,Texas,Austin,Customer Support,High School,02-01-1969,19-07-2021,low,32619,support,0,0.46,0.49,2,138,3,0,1,
E10125,Nathan,Bender,Male,Texas,Dallas,Technical Support,High School,28-11-1978,09-05-2024,low,44546,support,0,0.11,0.92,6,260,4,0,1,
E10126,Christina,Huber,Male,Florida,Orlando,Customer Support,High School,02-06-1998,23-05-2020,low,36746,support,0,0.38,0.49,2,132,3,0,1,
E10127,Scott,Ballard,Male,Illinois,Naperville,Customer Support,High School,18-03-1970,21-11-2017,low,41545,support,0,0.7,0.89,3,183,5,0,1,
E10128,Carolyn,Lopez,Female,Illinois,Naperville,Customer Support,High School,30-05-1980,16-07-2021,low,49564,support,0,0.09,0.82,6,250,4,0,1,
E10129,Sherry,Pitts,Female,California,San Francisco,Customer Support,High School,13-12-1983,14-12-2016,low,39219,support,0,0.37,0.45,2,151,3,0,1,
E10130,Tracy,Morrow,Male,Texas,Houston,Technical Support,High School,25-10-1964,13-12-2023,low,40345,support,0,0.1,0.83,6,292,4,0,1,
E10131,Beth,Parker,Male,Texas,Austin,Customer Support,High School,22-10-1971,01-08-2020,low,35764,support,0,0.38,0.57,2,140,3,0,1,
E10132,Omar,Myers,Female,New York,Rochester,Technical Support,High School,19-04-1968,23-04-2017,low,48553,support,0,0.9,1,5,221,5,0,1,
E10133,Larry,Lester,Male,New York,Rochester,Customer Support,High School,25-03-1984,26-01-2024,low,32468,support,0,0.44,0.51,2,138,3,0,1,
E10134,Lindsay,Vasquez,Male,Florida,Miami,Software Engineer,Bachelor's,10-11-1987,25-09-2022,low,42087,technical,0,0.36,0.5,2,132,3,0,1,
E10135,Robert,Clark,Male,Illinois,Springfield,Tech Lead,Master's,16-02-2001,11-12-2016,low,33809,technical,0,0.31,0.84,7,133,5,0,1,
E10136,Jermaine,Welch,Female,Florida,Miami,Data Scientist,Master's,15-09-1972,20-09-2016,low,30281,technical,0,0.1,0.84,6,283,4,1,1,
E10137,Ryan,Goodwin,Female,Florida,Miami,General Manager,Master's,24-05-1989,30-12-2024,low,34867,management,0,0.42,0.48,2,129,3,0,1,10-01-2025
E10138,Krystal,Baker,Female,Illinois,Springfield,System Administrator,Bachelor's,16-04-1994,01-12-2018,low,32507,IT,0,0.74,1,4,249,5,0,1,
E10139,Jason,King,Female,New York,Buffalo,IT Support,High School,16-03-1967,25-10-2017,low,35165,IT,0,0.73,0.87,5,257,5,0,1,
E10140,Kevin,Martin,Male,Florida,Miami,System Administrator,Bachelor's,25-08-1984,04-02-2020,low,39105,IT,0,0.09,0.96,6,245,4,0,1,
E10141,Mark,Rodriguez,Female,California,San Diego,System Administrator,Bachelor's,01-04-1998,12-05-2016,low,35805,IT,0,0.45,0.53,2,155,3,0,1,
E10142,Renee,Sanders,Male,California,San Francisco,System Administrator,Bachelor's,29-03-1972,09-11-2019,low,41911,IT,0,0.11,0.8,6,256,4,0,1,
E10143,Katrina,Guzman,Male,Illinois,Naperville,Product Manager,Master's,26-11-1967,25-01-2023,low,44684,product_mng,0,0.37,0.47,2,152,3,0,1,
E10144,Kelly,Peterson,Male,Florida,Miami,Business Analyst,Master's,18-08-1994,22-01-2025,low,45410,product_mng,0,0.84,0.99,4,267,5,0,1,02-02-2025
E10145,Mary,Gonzales,Female,New York,New York City,Product Manager,Master's,25-04-1974,11-06-2019,low,37826,product_mng,0,0.41,0.46,2,151,3,0,1,
E10146,Jaclyn,Navarro,Female,Florida,Miami,Product Manager,Master's,28-08-1993,31-08-2017,low,46117,product_mng,0,0.76,0.92,4,239,5,0,1,
E10147,Diane,Torres,Male,California,Los Angeles,System Administrator,Bachelor's,13-11-1990,07-03-2017,low,44694,IT,0,0.11,0.87,6,306,4,0,1,
E10148,Jeffrey,Perry,Male,New York,Buffalo,Marketing Manager,Master's,30-11-1974,02-12-2024,low,45341,marketing,0,0.84,0.88,4,263,5,1,1,
E10149,Vicki,Williams,Female,New York,Rochester,Marketing Coordinator,Bachelor's,10-11-1988,09-12-2024,low,43120,marketing,0,0.39,0.5,2,147,3,0,1,
E10150,John,Howell,Male,New York,Rochester,Marketing Manager,Master's,06-05-2002,03-05-2024,low,49176,marketing,0,0.11,0.91,6,278,4,0,1,
E10151,Stephanie,Jones,Male,Illinois,Chicago,Marketing Manager,Master's,06-07-2002,15-12-2019,low,46481,marketing,0,0.45,0.56,2,154,3,0,1,
E10152,Michael,Cain,Female,Illinois,Springfield,Marketing Coordinator,Bachelor's,22-04-1989,28-04-2018,low,34145,marketing,0,0.37,0.52,2,143,3,0,1,
E10153,Bryan,Smith,Female,New York,Buffalo,Marketing Manager,Master's,21-08-1965,18-07-2023,low,48681,marketing,0,0.4,0.52,2,155,3,0,1,
E10154,Mitchell,Hall,Female,New York,New York City,Sales Representative,Bachelor's,07-03-1967,03-04-2023,low,33336,sales,0,0.39,0.48,2,160,3,0,1,
E10155,James,Bradford,Female,Florida,Orlando,Accountant,Bachelor's,22-11-1969,24-12-2016,low,42861,accounting,0,0.11,0.8,6,304,4,0,1,
E10156,Laurie,Taylor,Male,New York,New York City,Customer Support,High School,12-03-1973,31-05-2019,low,35700,support,0,0.83,1,5,240,5,0,1,
E10157,Amber,Blake,Male,California,Los Angeles,Data Scientist,Master's,22-05-1969,22-11-2017,low,31996,technical,0,0.11,0.92,6,305,4,0,1,
E10158,Frank,Williamson,Male,Texas,Dallas,Operations Manager,Master's,18-02-1976,11-08-2018,low,34981,management,0,0.39,0.5,2,136,3,0,1,
E10159,Melissa,Smith,Male,Texas,Dallas,Marketing Coordinator,Bachelor's,24-01-1981,30-03-2019,low,32852,marketing,0,0.45,0.45,2,132,3,0,1,
E10160,Taylor,Harris,Female,Florida,Orlando,Marketing Coordinator,Bachelor's,01-01-1997,27-07-2016,low,36880,marketing,0,0.1,0.95,7,301,4,0,1,
E10161,Amy,Hernandez,Male,New York,New York City,Marketing Manager,Master's,21-01-1971,13-01-2022,low,46641,marketing,0,0.9,0.98,5,243,6,0,1,
E10162,Jeffrey,Frank,Male,California,San Francisco,Account Manager,Bachelor's,06-01-1967,09-02-2021,low,44694,sales,0,0.45,0.51,2,147,3,0,1,
E10163,Jeffrey,Logan,Male,Illinois,Springfield,Sales Representative,Bachelor's,15-12-1979,02-07-2024,low,44045,sales,0,0.79,0.89,5,239,5,0,1,
E10164,Micheal,Peck,Female,California,Los Angeles,Sales Representative,Bachelor's,16-11-1999,04-08-2019,low,35952,sales,0,0.9,0.99,5,260,5,0,1,
E10165,Christine,Peters,Female,New York,Buffalo,Sales Representative,Bachelor's,18-02-1987,27-08-2016,low,49942,sales,0,0.11,0.84,7,296,4,0,1,11-06-2018
E10166,Adam,House,Female,New York,New York City,Sales Representative,Bachelor's,26-10-1993,29-01-2018,low,38617,sales,0,0.43,0.55,2,129,3,0,1,
E10167,Ronald,Walker,Male,New York,New York City,Account Manager,Bachelor's,29-09-1989,29-07-2020,low,44166,sales,0,0.31,0.54,5,132,5,0,1,
E10168,Kathryn,Adams,Male,California,San Diego,Sales Representative,Bachelor's,29-09-1964,15-12-2020,low,42308,sales,0,0.32,0.5,2,135,5,0,1,
E10169,Catherine,Ortega,Female,Illinois,Chicago,Account Manager,Bachelor's,16-10-1990,17-12-2021,low,48826,sales,0,0.45,0.57,2,158,3,0,1,
